,,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,
Alameda,,828000,862000,,881500,1060000,1100000,,,,,,,,,,,,,,,,,,,,
Contra Costa,,595000,653000,,665000,763000,817500,,,,,,,,,,,,,,,,,,,,
Marin,,1237500,1315000,,1300000,1459000,1540000,,,,,,,,,,,,,,,,,,,,
Napa,,645770,673250,,765000,842000,931500,,,,,,,,,,,,,,,,,,,,
San Francisco,,1360000,1501680,,1450000,1581000,1786400,,,,,,,,,,,,,,,,,,,,
San Mateo,,1392500,1480000,,1475000,1700000,1900000,,,,,,,,,,,,,,,,,,,,
Santa Clara,,1100000,1200000,,1225000,1375000,1486250,,,,,,,,,,,,,,,,,,,,
Solano,,385500,415000,,455500,510000,509750,,,,,,,,,,,,,,,,,,,,
Sonoma,,580000,625000,,647500,720000,740000,,,,,,,,,,,,,,,,,,,,
Los Angeles,,467290,492040,,641340,709500,664120,,,,,,,,,,,,,,,,,,,,
Orange ,,731750,795000,,840000,950000,995000,,,,,,,,,,,,,,,,,,,,
Riverside ,,355000,375000,,420000,488250,519500,,,,,,,,,,,,,,,,,,,,
San Bernardino,,245080,272200,,320000,378500,389900,,,,,,,,,,,,,,,,,,,,
San Diego,,565000,605000,,655000,730000,765000,,,,,,,,,,,,,,,,,,,,
Ventura,,617740,657890,,657000,740000,750000,,,,,,,,,,,,,,,,,,,,
Monterey,,540000,617000,,613250,785000,820000,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,,540000,569000,,615500,711000,700000,,,,,,,,,,,,,,,,,,,,
Santa Barbara,,689000,725000,,770000,970000,1174080,,,,,,,,,,,,,,,,,,,,
Santa Cruz,,800000,875000,,889000,1070000,1058000,,,,,,,,,,,,,,,,,,,,
Fresno,,232000,250000,,285000,325000,350000,,,,,,,,,,,,,,,,,,,,
Glenn,,175000,200000,,252000,297500,319500,,,,,,,,,,,,,,,,,,,,
Kern,,225000,230000,,262900,300000,295000,,,,,,,,,,,,,,,,,,,,
Kings,,215000,211000,,255000,281750,280000,,,,,,,,,,,,,,,,,,,,
Madera,,213500,255000,,285100,335000,354500,,,,,,,,,,,,,,,,,,,,
Merced,,223500,243500,,278800,315000,318750,,,,,,,,,,,,,,,,,,,,
Placer,,427000,460000,,495000,559000,599500,,,,,,,,,,,,,,,,,,,,
Sacramento,,317950,342100,,385000,442250,463000,,,,,,,,,,,,,,,,,,,,
San Benito,,479000,520000,,600000,729500,700000,,,,,,,,,,,,,,,,,,,,
San Joaquin,,320000,331950,,391500,435750,436300,,,,,,,,,,,,,,,,,,,,
Stanislaus,,265000,290000,,335000,380000,405000,,,,,,,,,,,,,,,,,,,,
Tulare,,205000,225000,,252000,295000,288500,,,,,,,,,,,,,,,,,,,,
Butte ,,268500,350000,,351720,408460,397000,,,,,,,,,,,,,,,,,,,,
Lassen,,271000,308000,,247500,215000,208250,,,,,,,,,,,,,,,,,,,,
Plumas,,287500,300000,,270500,305000,329500,,,,,,,,,,,,,,,,,,,,
Shasta,,189500,220000,,275000,307500,329950,,,,,,,,,,,,,,,,,,,,
Siskiyou ,,429500,469000,,225000,228000,322500,,,,,,,,,,,,,,,,,,,,
Tehama,,270000,289500,,237500,273250,299000,,,,,,,,,,,,,,,,,,,,
Amador,,238000,240000,,300000,355000,406280,,,,,,,,,,,,,,,,,,,,
Calaveras,,134450,192500,,339500,397500,441500,,,,,,,,,,,,,,,,,,,,
Del Norte,,299000,271000,,276780,346000,359000,,,,,,,,,,,,,,,,,,,,
El Dorado ,,330000,410000,,465000,538350,577500,,,,,,,,,,,,,,,,,,,,
Humboldt,,585000,627500,,318500,370000,360000,,,,,,,,,,,,,,,,,,,,
Lake,,354000,389000,,271500,306950,326500,,,,,,,,,,,,,,,,,,,,
Mariposa,,225000,285000,,299900,380000,397500,,,,,,,,,,,,,,,,,,,,
Mendocino,,229000,255000,,447000,540000,525000,,,,,,,,,,,,,,,,,,,,
Mono,,175000,211500,,400000,880000,1435000,,,,,,,,,,,,,,,,,,,,
Nevada,,235000,283000,,400000,508000,519500,,,,,,,,,,,,,,,,,,,,
Sutter,,170000,203000,,308250,369900,395000,,,,,,,,,,,,,,,,,,,,
Tuolumne,,242500,299000,,292000,330000,375000,,,,,,,,,,,,,,,,,,,,
Yolo,,398000,453450,,441000,515000,520000,,,,,,,,,,,,,,,,,,,,
Yuba,,225000,255570,,299850,360000,370000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,