,counties
0,Alameda
1,Alameda
2,Alameda
3,Alameda
4,Alameda
5,Alameda
6,Alameda
7,Alameda
8,Alameda
9,Alameda
10,Alameda
11,Alameda
12,Alameda
13,Alameda
14,Amador
15,Amador
16,Amador
17,Butte
18,Butte
19,Butte
20,Butte
21,Butte
22,Butte
23,Butte
24,Butte
25,Butte
26,Butte
27,Butte
28,Butte
29,Butte
30,Butte
31,Butte
32,Butte
33,Butte
34,Butte
35,Butte
36,Butte
37,Butte
38,Butte
39,Butte
40,Butte
41,Butte
42,Butte
43,Butte
44,Butte
45,Butte
46,Butte
47,Butte
48,Butte
49,Butte
50,Calaveras
51,Colusa
52,Colusa
53,Colusa
54,Colusa
55,Colusa
56,Colusa
57,Colusa
58,Colusa
59,Colusa
60,Contra
61,Contra
62,Contra
63,Contra
64,Contra
65,Contra
66,Contra
67,Contra
68,Contra
69,Contra
70,Contra
71,Contra
72,Contra
73,Contra
74,Contra
75,Contra
76,Contra
77,Contra
78,Contra
79,Contra
80,Contra
81,Contra
82,Contra
83,Contra
84,Contra
85,Contra
86,Contra
87,Contra
88,Contra
89,Del
90,Del
91,Del
92,El
93,El
94,El
95,El
96,El
97,El
98,El
99,El
100,Fresno
101,Fresno
102,Fresno
103,Fresno
104,Fresno
105,Fresno
106,Fresno
107,Fresno
108,Fresno
109,Fresno
110,Fresno
111,Fresno
112,Fresno
113,Fresno
114,Fresno
115,Fresno
116,Fresno
117,Fresno
118,Fresno
119,Fresno
120,Fresno
121,Fresno
122,Fresno
123,Fresno
124,Fresno
125,Fresno
126,Fresno
127,Fresno
128,Fresno
129,Fresno
130,Fresno
131,Fresno
132,Fresno
133,Fresno
134,Fresno
135,Fresno
136,Fresno
137,Fresno
138,Fresno
139,Fresno
140,Fresno
141,Fresno
142,Fresno
143,Fresno
144,Fresno
145,Fresno
146,Fresno
147,Fresno
148,Fresno
149,Fresno
150,Fresno
151,Fresno
152,Fresno
153,Fresno
154,Fresno
155,Fresno
156,Fresno
157,Fresno
158,Fresno
159,Fresno
160,Fresno
161,Fresno
162,Fresno
163,Fresno
164,Fresno
165,Fresno
166,Fresno
167,Fresno
168,Fresno
169,Fresno
170,Fresno
171,Fresno
172,Fresno
173,Fresno
174,Fresno
175,Fresno
176,Fresno
177,Fresno
178,Fresno
179,Fresno
180,Fresno
181,Fresno
182,Fresno
183,Fresno
184,Fresno
185,Fresno
186,Fresno
187,Fresno
188,Fresno
189,Fresno
190,Fresno
191,Fresno
192,Fresno
193,Fresno
194,Fresno
195,Fresno
196,Fresno
197,Fresno
198,Fresno
199,Fresno
200,Fresno
201,Fresno
202,Fresno
203,Fresno
204,Fresno
205,Fresno
206,Fresno
207,Fresno
208,Fresno
209,Fresno
210,Fresno
211,Fresno
212,Fresno
213,Fresno
214,Fresno
215,Fresno
216,Fresno
217,Fresno
218,Fresno
219,Fresno
220,Fresno
221,Fresno
222,Fresno
223,Fresno
224,Fresno
225,Fresno
226,Fresno
227,Fresno
228,Fresno
229,Fresno
230,Fresno
231,Fresno
232,Fresno
233,Fresno
234,Fresno
235,Fresno
236,Fresno
237,Fresno
238,Fresno
239,Fresno
240,Fresno
241,Fresno
242,Fresno
243,Fresno
244,Fresno
245,Fresno
246,Fresno
247,Fresno
248,Fresno
249,Fresno
250,Fresno
251,Fresno
252,Fresno
253,Fresno
254,Fresno
255,Fresno
256,Fresno
257,Fresno
258,Fresno
259,Fresno
260,Fresno
261,Fresno
262,Fresno
263,Fresno
264,Fresno
265,Fresno
266,Fresno
267,Fresno
268,Fresno
269,Fresno
270,Fresno
271,Fresno
272,Fresno
273,Fresno
274,Fresno
275,Fresno
276,Fresno
277,Fresno
278,Fresno
279,Fresno
280,Fresno
281,Fresno
282,Fresno
283,Fresno
284,Fresno
285,Fresno
286,Fresno
287,Fresno
288,Fresno
289,Fresno
290,Fresno
291,Fresno
292,Fresno
293,Fresno
294,Fresno
295,Fresno
296,Fresno
297,Fresno
298,Fresno
299,Fresno
300,Fresno
301,Fresno
302,Fresno
303,Fresno
304,Fresno
305,Fresno
306,Fresno
307,Fresno
308,Fresno
309,Fresno
310,Fresno
311,Fresno
312,Fresno
313,Fresno
314,Fresno
315,Fresno
316,Fresno
317,Fresno
318,Fresno
319,Fresno
320,Fresno
321,Fresno
322,Fresno
323,Fresno
324,Fresno
325,Fresno
326,Fresno
327,Fresno
328,Fresno
329,Fresno
330,Fresno
331,Fresno
332,Fresno
333,Fresno
334,Fresno
335,Fresno
336,Fresno
337,Fresno
338,Fresno
339,Fresno
340,Fresno
341,Fresno
342,Fresno
343,Fresno
344,Fresno
345,Fresno
346,Fresno
347,Fresno
348,Fresno
349,Fresno
350,Fresno
351,Fresno
352,Fresno
353,Fresno
354,Fresno
355,Fresno
356,Fresno
357,Fresno
358,Fresno
359,Fresno
360,Fresno
361,Fresno
362,Fresno
363,Fresno
364,Fresno
365,Fresno
366,Fresno
367,Fresno
368,Glenn
369,Glenn
370,Glenn
371,Glenn
372,Glenn
373,Glenn
374,Glenn
375,Glenn
376,Glenn
377,Glenn
378,Glenn
379,Glenn
380,Glenn
381,Glenn
382,Glenn
383,Humboldt
384,Humboldt
385,Humboldt
386,Humboldt
387,Humboldt
388,Humboldt
389,Humboldt
390,Humboldt
391,Humboldt
392,Humboldt
393,Humboldt
394,Humboldt
395,Humboldt
396,Humboldt
397,Humboldt
398,Humboldt
399,Humboldt
400,Humboldt
401,Humboldt
402,Humboldt
403,Humboldt
404,Humboldt
405,Humboldt
406,Humboldt
407,Humboldt
408,Humboldt
409,Humboldt
410,Imperial
411,Imperial
412,Imperial
413,Imperial
414,Imperial
415,Imperial
416,Imperial
417,Imperial
418,Imperial
419,Imperial
420,Imperial
421,Imperial
422,Imperial
423,Imperial
424,Imperial
425,Imperial
426,Imperial
427,Imperial
428,Imperial
429,Imperial
430,Imperial
431,Imperial
432,Imperial
433,Imperial
434,Imperial
435,Imperial
436,Imperial
437,Imperial
438,Imperial
439,Imperial
440,Imperial
441,Imperial
442,Imperial
443,Imperial
444,Imperial
445,Imperial
446,Imperial
447,Imperial
448,Imperial
449,Imperial
450,Imperial
451,Imperial
452,Imperial
453,Imperial
454,Imperial
455,Imperial
456,Imperial
457,Imperial
458,Imperial
459,Imperial
460,Inyo
461,Inyo
462,Inyo
463,Kern
464,Kern
465,Kern
466,Kern
467,Kern
468,Kern
469,Kern
470,Kern
471,Kern
472,Kern
473,Kern
474,Kern
475,Kern
476,Kern
477,Kern
478,Kern
479,Kern
480,Kern
481,Kern
482,Kern
483,Kern
484,Kern
485,Kern
486,Kern
487,Kern
488,Kern
489,Kern
490,Kern
491,Kern
492,Kern
493,Kern
494,Kern
495,Kern
496,Kern
497,Kern
498,Kern
499,Kern
500,Kern
501,Kern
502,Kern
503,Kern
504,Kern
505,Kern
506,Kern
507,Kern
508,Kern
509,Kern
510,Kern
511,Kern
512,Kern
513,Kern
514,Kern
515,Kern
516,Kern
517,Kern
518,Kern
519,Kern
520,Kern
521,Kern
522,Kern
523,Kern
524,Kern
525,Kern
526,Kern
527,Kern
528,Kern
529,Kern
530,Kern
531,Kern
532,Kern
533,Kern
534,Kern
535,Kern
536,Kern
537,Kern
538,Kern
539,Kern
540,Kern
541,Kern
542,Kern
543,Kern
544,Kern
545,Kern
546,Kern
547,Kern
548,Kern
549,Kern
550,Kern
551,Kern
552,Kern
553,Kern
554,Kern
555,Kern
556,Kern
557,Kern
558,Kern
559,Kern
560,Kern
561,Kern
562,Kern
563,Kern
564,Kern
565,Kern
566,Kern
567,Kern
568,Kern
569,Kern
570,Kern
571,Kern
572,Kern
573,Kern
574,Kern
575,Kern
576,Kern
577,Kern
578,Kern
579,Kern
580,Kern
581,Kern
582,Kern
583,Kern
584,Kern
585,Kern
586,Kern
587,Kern
588,Kern
589,Kern
590,Kern
591,Kern
592,Kern
593,Kern
594,Kern
595,Kern
596,Kern
597,Kern
598,Kern
599,Kern
600,Kern
601,Kern
602,Kern
603,Kern
604,Kern
605,Kern
606,Kern
607,Kern
608,Kern
609,Kern
610,Kern
611,Kern
612,Kern
613,Kern
614,Kern
615,Kern
616,Kern
617,Tulare
618,Kern
619,Kern
620,Kern
621,Kern
622,Kern
623,Kern
624,Kern
625,Kern
626,Kern
627,Kern
628,Kern
629,Kern
630,Kern
631,Kern
632,Kern
633,Kern
634,Kern
635,Kern
636,Kern
637,Kern
638,Kern
639,Kern
640,Kern
641,Kern
642,Kern
643,Kern
644,Kern
645,Kern
646,Kern
647,Kern
648,Kern
649,Kern
650,Kern
651,Kern
652,Kern
653,Kern
654,Kern
655,Kern
656,Kern
657,Kern
658,Kern
659,Kern
660,Kern
661,Kern
662,Kern
663,Kern
664,Kern
665,Kern
666,Kern
667,Kern
668,Kern
669,Kern
670,Kern
671,Kern
672,Kings
673,Kings
674,Kings
675,Kings
676,Kings
677,Kings
678,Kings
679,Kings
680,Kings
681,Kings
682,Kings
683,Kings
684,Kings
685,Kings
686,Kings
687,Kings
688,Kings
689,Kings
690,Kings
691,Kings
692,Kings
693,Kings
694,Kings
695,Kings
696,Kings
697,Kings
698,Kings
699,Kings
700,Kings
701,Kings
702,Kings
703,Kings
704,Kings
705,Kings
706,Kings
707,Kings
708,Kings
709,Kings
710,Kings
711,Kings
712,Kings
713,Kings
714,Kings
715,Kings
716,Kings
717,Kings
718,Kings
719,Kings
720,Kings
721,Kings
722,Kings
723,Kings
724,Kings
725,Kings
726,Kings
727,Lake
728,Lake
729,Lake
730,Lake
731,Lake
732,Lake
733,Lake
734,Lake
735,Lake
736,Lake
737,Lake
738,Lake
739,Lake
740,Lake
741,Lake
742,Lake
743,Lake
744,Lassen
745,Lassen
746,Lassen
747,Lassen
748,Lassen
749,Lassen
750,Lassen
751,Lassen
752,Lassen
753,Lassen
754,Lassen
755,Lassen
756,Lassen
757,Lassen
758,Lassen
759,Lassen
760,Los
761,Los
762,Los
763,Los
764,Los
765,Los
766,Los
767,Los
768,Los
769,Los
770,Los
771,Los
772,Los
773,Los
774,Los
775,Los
776,Los
777,Los
778,Los
779,Los
780,Los
781,Los
782,Los
783,Los
784,Los
785,Los
786,Los
787,Los
788,Los
789,Los
790,Los
791,Los
792,Los
793,Los
794,Los
795,Los
796,Los
797,Los
798,Los
799,Los
800,Los
801,Los
802,Los
803,Los
804,Los
805,Los
806,Los
807,Los
808,Los
809,Los
810,Los
811,Los
812,Los
813,Los
814,Los
815,Madera
816,Madera
817,Madera
818,Madera
819,Madera
820,Madera
821,Madera
822,Madera
823,Madera
824,Madera
825,Madera
826,Madera
827,Madera
828,Madera
829,Madera
830,Madera
831,Madera
832,Madera
833,Madera
834,Madera
835,Madera
836,Madera
837,Madera
838,Madera
839,Madera
840,Madera
841,Madera
842,Madera
843,Madera
844,Madera
845,Madera
846,Madera
847,Madera
848,Madera
849,Madera
850,Madera
851,Madera
852,Madera
853,Madera
854,Madera
855,Marin
856,Mariposa
857,Mariposa
858,Mariposa
859,Mendocino
860,Mendocino
861,Mendocino
862,Merced
863,Merced
864,Merced
865,Merced
866,Merced
867,Merced
868,Merced
869,Merced
870,Merced
871,Merced
872,Merced
873,Merced
874,Merced
875,Merced
876,Merced
877,Merced
878,Merced
879,Merced
880,Merced
881,Merced
882,Merced
883,Merced
884,Merced
885,Merced
886,Merced
887,Merced
888,Merced
889,Merced
890,Merced
891,Merced
892,Merced
893,Merced
894,Merced
895,Merced
896,Merced
897,Merced
898,Modoc
899,Modoc
900,Modoc
901,Modoc
902,Lake
903,Modoc
904,Modoc
905,Modoc
906,Mono
907,Mono
908,Monterey
909,Napa
910,Nevada
911,Nevada
912,Nevada
913,Nevada
914,Nevada
915,Nevada
916,Orange
917,Orange
918,Orange
919,Orange
920,Orange
921,Orange
922,Orange
923,Orange
924,Orange
925,Orange
926,Orange
927,Orange
928,Orange
929,Orange
930,Placer
931,Placer
932,Placer
933,Plumas
934,Plumas
935,Plumas
936,Plumas
937,Plumas
938,Plumas
939,Plumas
940,Riverside
941,Riverside
942,Riverside
943,Riverside
944,Riverside
945,Riverside
946,Riverside
947,Riverside
948,Riverside
949,Riverside
950,Riverside
951,Riverside
952,Riverside
953,Riverside
954,Riverside
955,Riverside
956,Riverside
957,Riverside
958,Riverside
959,Riverside
960,Riverside
961,Riverside
962,Riverside
963,Riverside
964,Riverside
965,Riverside
966,Riverside
967,Riverside
968,Riverside
969,Riverside
970,Riverside
971,Riverside
972,Riverside
973,Riverside
974,Riverside
975,Riverside
976,Riverside
977,Riverside
978,Riverside
979,Riverside
980,Riverside
981,Riverside
982,Riverside
983,Riverside
984,Riverside
985,Riverside
986,Riverside
987,Riverside
988,Riverside
989,Riverside
990,Riverside
991,Riverside
992,Riverside
993,Riverside
994,Riverside
995,Riverside
996,Riverside
997,Riverside
998,Riverside
999,Riverside
1000,Riverside
1001,Riverside
1002,Riverside
1003,Riverside
1004,Riverside
1005,Riverside
1006,Riverside
1007,Riverside
1008,Riverside
1009,Riverside
1010,Riverside
1011,Riverside
1012,Riverside
1013,Riverside
1014,Riverside
1015,Riverside
1016,Riverside
1017,Riverside
1018,Riverside
1019,Riverside
1020,Riverside
1021,Riverside
1022,Riverside
1023,Riverside
1024,Riverside
1025,Riverside
1026,Riverside
1027,Riverside
1028,Riverside
1029,Riverside
1030,Riverside
1031,Riverside
1032,Riverside
1033,Riverside
1034,Sacramento
1035,Sacramento
1036,Sacramento
1037,Sacramento
1038,Sacramento
1039,Sacramento
1040,Sacramento
1041,Sacramento
1042,Sacramento
1043,Sacramento
1044,Sacramento
1045,Sacramento
1046,Sacramento
1047,Sacramento
1048,Sacramento
1049,Sacramento
1050,Sacramento
1051,Sacramento
1052,Sacramento
1053,Sacramento
1054,Sacramento
1055,Sacramento
1056,Sacramento
1057,Sacramento
1058,Sacramento
1059,Sacramento
1060,Sacramento
1061,Sacramento
1062,Sacramento
1063,Sacramento
1064,Sacramento
1065,Sacramento
1066,Sacramento
1067,Sacramento
1068,Sacramento
1069,Sacramento
1070,Sacramento
1071,Sacramento
1072,Sacramento
1073,Sacramento
1074,Sacramento
1075,Sacramento
1076,Sacramento
1077,Sacramento
1078,Sacramento
1079,Sacramento
1080,Sacramento
1081,Sacramento
1082,Sacramento
1083,Sacramento
1084,Sacramento
1085,Sacramento
1086,Sacramento
1087,Sacramento
1088,Sacramento
1089,Sacramento
1090,Sacramento
1091,Sacramento
1092,Sacramento
1093,Sacramento
1094,Sacramento
1095,Sacramento
1096,Sacramento
1097,Sacramento
1098,Sacramento
1099,Sacramento
1100,Sacramento
1101,Sacramento
1102,Sacramento
1103,Sacramento
1104,Sacramento
1105,Sacramento
1106,Sacramento
1107,Sacramento
1108,Sacramento
1109,Sacramento
1110,Sacramento
1111,Sacramento
1112,Sacramento
1113,Sacramento
1114,Sacramento
1115,Sacramento
1116,Sacramento
1117,Sacramento
1118,Sacramento
1119,Sacramento
1120,Sacramento
1121,Sacramento
1122,Sacramento
1123,Sacramento
1124,Sacramento
1125,Sacramento
1126,Sacramento
1127,Sacramento
1128,Sacramento
1129,Sacramento
1130,Sacramento
1131,Sacramento
1132,Sacramento
1133,Sacramento
1134,Sacramento
1135,Sacramento
1136,Sacramento
1137,Sacramento
1138,Sacramento
1139,Sacramento
1140,Sacramento
1141,Sacramento
1142,Sacramento
1143,Sacramento
1144,Sacramento
1145,Sacramento
1146,Sacramento
1147,Sacramento
1148,Sacramento
1149,Sacramento
1150,Sacramento
1151,Sacramento
1152,Sacramento
1153,Sacramento
1154,Sacramento
1155,Sacramento
1156,Sacramento
1157,Sacramento
1158,Sacramento
1159,Sacramento
1160,Sacramento
1161,Sacramento
1162,Sacramento
1163,Sacramento
1164,Sacramento
1165,Sacramento
1166,Sacramento
1167,Sacramento
1168,Sacramento
1169,Sacramento
1170,San
1171,San
1172,San
1173,San
1174,San
1175,San
1176,San
1177,San
1178,San
1179,San
1180,San
1181,San
1182,San
1183,San
1184,San
1185,San
1186,San
1187,San
1188,San
1189,San
1190,San
1191,San
1192,San
1193,San
1194,San
1195,San
1196,San
1197,San
1198,San
1199,San
1200,San
1201,San
1202,San
1203,San
1204,San
1205,San
1206,San
1207,San
1208,San
1209,San
1210,San
1211,San
1212,San
1213,San
1214,San
1215,San
1216,San
1217,San
1218,San
1219,San
1220,San
1221,San
1222,San
1223,San
1224,San
1225,San
1226,San
1227,San
1228,San
1229,San
1230,San
1231,San
1232,San
1233,San
1234,San
1235,San
1236,San
1237,San
1238,San
1239,San
1240,San
1241,San
1242,San
1243,San
1244,San
1245,San
1246,San
1247,San
1248,San
1249,San
1250,San
1251,San
1252,San
1253,San
1254,San
1255,San
1256,San
1257,San
1258,San
1259,San
1260,San
1261,San
1262,San
1263,San
1264,San
1265,San
1266,San
1267,San
1268,San
1269,San
1270,San
1271,San
1272,San
1273,San
1274,San
1275,San
1276,San
1277,San
1278,San
1279,San
1280,San
1281,San
1282,San
1283,San
1284,San
1285,San
1286,San
1287,San
1288,San
1289,San
1290,San
1291,San
1292,San
1293,San
1294,San
1295,San
1296,San
1297,San
1298,San
1299,San
1300,San
1301,San
1302,San
1303,San
1304,San
1305,San
1306,San
1307,San
1308,San
1309,San
1310,San
1311,San
1312,San
1313,San
1314,San
1315,San
1316,San
1317,San
1318,San
1319,San
1320,San
1321,San
1322,San
1323,San
1324,San
1325,San
1326,San
1327,San
1328,San
1329,San
1330,San
1331,San
1332,San
1333,San
1334,San
1335,San
1336,San
1337,San
1338,San
1339,San
1340,San
1341,San
1342,San
1343,San
1344,San
1345,San
1346,San
1347,San
1348,San
1349,San
1350,San
1351,San
1352,San
1353,San
1354,San
1355,San
1356,San
1357,San
1358,San
1359,San
1360,San
1361,San
1362,San
1363,San
1364,San
1365,San
1366,San
1367,San
1368,San
1369,San
1370,San
1371,San
1372,San
1373,San
1374,San
1375,San
1376,San
1377,San
1378,San
1379,San
1380,San
1381,San
1382,San
1383,San
1384,San
1385,San
1386,San
1387,San
1388,San
1389,San
1390,San
1391,San
1392,San
1393,San
1394,San
1395,San
1396,San
1397,San
1398,San
1399,San
1400,San
1401,San
1402,San
1403,San
1404,San
1405,San
1406,San
1407,San
1408,San
1409,San
1410,San
1411,San
1412,San
1413,San
1414,San
1415,San
1416,San
1417,San
1418,San
1419,San
1420,San
1421,San
1422,San
1423,San
1424,San
1425,San
1426,San
1427,San
1428,San
1429,San
1430,San
1431,San
1432,San
1433,San
1434,San
1435,San
1436,San
1437,San
1438,San
1439,San
1440,San
1441,San
1442,San
1443,San
1444,San
1445,San
1446,San
1447,San
1448,San
1449,San
1450,San
1451,San
1452,San
1453,San
1454,San
1455,San
1456,San
1457,San
1458,San
1459,San
1460,San
1461,San
1462,San
1463,San
1464,San
1465,San
1466,San
1467,San
1468,San
1469,San
1470,San
1471,San
1472,San
1473,San
1474,San
1475,San
1476,San
1477,San
1478,San
1479,San
1480,San
1481,San
1482,San
1483,San
1484,San
1485,San
1486,San
1487,San
1488,San
1489,San
1490,San
1491,San
1492,San
1493,San
1494,San
1495,San
1496,San
1497,San
1498,San
1499,San
1500,San
1501,San
1502,San
1503,San
1504,San
1505,San
1506,San
1507,San
1508,San
1509,San
1510,San
1511,San
1512,San
1513,San
1514,San
1515,San
1516,San
1517,San
1518,Santa
1519,Santa
1520,Santa
1521,Santa
1522,Santa
1523,Santa
1524,Santa
1525,Santa
1526,Santa
1527,Santa
1528,Santa
1529,Santa
1530,Santa
1531,Santa
1532,Santa
1533,Santa
1534,Santa
1535,Santa
1536,Shasta
1537,Shasta
1538,Shasta
1539,Shasta
1540,Shasta
1541,Shasta
1542,Shasta
1543,Shasta
1544,Shasta
1545,Shasta
1546,Shasta
1547,Shasta
1548,Shasta
1549,Shasta
1550,Shasta
1551,Shasta
1552,Shasta
1553,Shasta
1554,Shasta
1555,Shasta
1556,Shasta
1557,Shasta
1558,Shasta
1559,Shasta
1560,Shasta
1561,Shasta
1562,Shasta
1563,Shasta
1564,Shasta
1565,Shasta
1566,Shasta
1567,Shasta
1568,Shasta
1569,Shasta
1570,Shasta
1571,Shasta
1572,Shasta
1573,Shasta
1574,Sierra
1575,Sierra
1576,Sierra
1577,Sierra
1578,Siskiyou
1579,Siskiyou
1580,Siskiyou
1581,Siskiyou
1582,Siskiyou
1583,Siskiyou
1584,Siskiyou
1585,Siskiyou
1586,Siskiyou
1587,Siskiyou
1588,Siskiyou
1589,Siskiyou
1590,Siskiyou
1591,Siskiyou
1592,Siskiyou
1593,Siskiyou
1594,Siskiyou
1595,Siskiyou
1596,Siskiyou
1597,Siskiyou
1598,Solano
1599,Solano
1600,Solano
1601,Solano
1602,Solano
1603,Solano
1604,Solano
1605,Solano
1606,Solano
1607,Solano
1608,Solano
1609,Solano
1610,Solano
1611,Solano
1612,Solano
1613,Solano
1614,Solano
1615,Solano
1616,Solano
1617,Solano
1618,Solano
1619,Solano
1620,Solano
1621,Solano
1622,Solano
1623,Solano
1624,Solano
1625,Solano
1626,Solano
1627,Stanislaus
1628,Stanislaus
1629,Stanislaus
1630,Stanislaus
1631,Stanislaus
1632,Stanislaus
1633,Stanislaus
1634,Stanislaus
1635,Stanislaus
1636,Stanislaus
1637,Stanislaus
1638,Stanislaus
1639,Stanislaus
1640,Stanislaus
1641,Stanislaus
1642,Stanislaus
1643,Stanislaus
1644,Stanislaus
1645,Stanislaus
1646,Stanislaus
1647,Stanislaus
1648,Stanislaus
1649,Stanislaus
1650,Stanislaus
1651,Stanislaus
1652,Stanislaus
1653,Sutter
1654,Sutter
1655,Sutter
1656,Sutter
1657,Sutter
1658,Sutter
1659,Sutter
1660,Sutter
1661,Sutter
1662,Sutter
1663,Sutter
1664,Sutter
1665,Sutter
1666,Sutter
1667,Sutter
1668,Sutter
1669,Sutter
1670,Sutter
1671,Sutter
1672,Sutter
1673,Sutter
1674,Sutter
1675,Sutter
1676,Sutter
1677,Sutter
1678,Sutter
1679,Sutter
1680,Tehama
1681,Tehama
1682,Tehama
1683,Tehama
1684,Tehama
1685,Tehama
1686,Tehama
1687,Tehama
1688,Tehama
1689,Tehama
1690,Tehama
1691,Tehama
1692,Tehama
1693,Tehama
1694,Tehama
1695,Tehama
1696,Tehama
1697,Tehama
1698,Tehama
1699,Tehama
1700,Tehama
1701,Tehama
1702,Tehama
1703,Tehama
1704,Trinity
1705,Trinity
1706,Trinity
1707,Trinity
1708,Trinity
1709,Trinity
1710,Trinity
1711,Trinity
1712,Tulare
1713,Tulare
1714,Tulare
1715,Tulare
1716,Tulare
1717,Tulare
1718,Tulare
1719,Tulare
1720,Tulare
1721,Tulare
1722,Tulare
1723,Tulare
1724,Tulare
1725,Tulare
1726,Tulare
1727,Tulare
1728,Tulare
1729,Tulare
1730,Tulare
1731,Tulare
1732,Tulare
1733,Tulare
1734,Tulare
1735,Tulare
1736,Tulare
1737,Tulare
1738,Tulare
1739,Tulare
1740,Tulare
1741,Tulare
1742,Tulare
1743,Tulare
1744,Tulare
1745,Tulare
1746,Tulare
1747,Tulare
1748,Tulare
1749,Tulare
1750,Tulare
1751,Tulare
1752,Tulare
1753,Tulare
1754,Tulare
1755,Tulare
1756,Tulare
1757,Tulare
1758,Tulare
1759,Tulare
1760,Tulare
1761,Tulare
1762,Tulare
1763,Tulare
1764,Tulare
1765,Tulare
1766,Tulare
1767,Tulare
1768,Tulare
1769,Tulare
1770,Tulare
1771,Tulare
1772,Tulare
1773,Tulare
1774,Tulare
1775,Tulare
1776,Tulare
1777,Tulare
1778,Tulare
1779,Tulare
1780,Tulare
1781,Tulare
1782,Tulare
1783,Tulare
1784,Tulare
1785,Tulare
1786,Tulare
1787,Tulare
1788,Tulare
1789,Tulare
1790,Tulare
1791,Tulare
1792,Tulare
1793,Tulare
1794,Tulare
1795,Tulare
1796,Tulare
1797,Tulare
1798,Tulare
1799,Tulare
1800,Tulare
1801,Tulare
1802,Tulare
1803,Tulare
1804,Tulare
1805,Tulare
1806,Tulare
1807,Tulare
1808,Tulare
1809,Tulare
1810,Tulare
1811,Tulare
1812,Tulare
1813,Tulare
1814,Tulare
1815,Tulare
1816,Tulare
1817,Tulare
1818,Tulare
1819,Tulare
1820,Tulare
1821,Tulare
1822,Tulare
1823,Tulare
1824,Tulare
1825,Tulare
1826,Tulare
1827,Tulare
1828,Tulare
1829,Tulare
1830,Tulare
1831,Tulare
1832,Tulare
1833,Tulare
1834,Tulare
1835,Tulare
1836,Tulare
1837,Tulare
1838,Tulare
1839,Tulare
1840,Tulare
1841,Tulare
1842,Tulare
1843,Tulare
1844,Tulare
1845,Tulare
1846,Tulare
1847,Tulare
1848,Tuolumne
1849,Tuolumne
1850,Tuolumne
1851,Tuolumne
1852,Tuolumne
1853,Ventura
1854,Ventura
1855,Ventura
1856,Ventura
1857,Yolo
1858,Yolo
1859,Yolo
1860,Yolo
1861,Yolo
1862,Yolo
1863,Yolo
1864,Yolo
1865,Yolo
1866,Yolo
1867,Yolo
1868,Yolo
1869,Yuba
1870,Yuba
1871,Yuba
1872,Yuba
1873,Yuba
1874,Yuba
1875,Yuba
1876,Yuba
1877,Yuba
1878,Sutter
1879,Yuba
1880,Yuba
1881,Yuba
1882,Yuba
1883,Yuba
1884,Yuba
1885,Yuba
1886,Yuba
1887,Yuba
1888,Yuba
1889,Yuba
